Trial,Reward,Algorithm
139,0.4626398199405367,Thompson Sampling
140,1.3363617984697576,Thompson Sampling
141,-1.7578065671260679,Thompson Sampling
142,0.9862318854322566,Thompson Sampling
143,1.9304473527546953,Thompson Sampling
144,-0.4648322696106998,Thompson Sampling
145,-0.28235782888678607,Thompson Sampling
146,1.7809728521335417,Thompson Sampling
147,1.6883058895014789,Thompson Sampling
148,2.373786436630238,Thompson Sampling
149,1.9697461216277552,Thompson Sampling
150,0.6766611342580287,Thompson Sampling
151,1.8115059301564382,Thompson Sampling
152,0.9286442641145817,Thompson Sampling
153,0.4652427022263961,Thompson Sampling
154,2.5263229345118243,Thompson Sampling
155,0.5109827122140971,Thompson Sampling
156,0.9357984801306439,Thompson Sampling
157,1.7232910525071796,Thompson Sampling
158,1.6116613177029735,Thompson Sampling
